Agency code	Agency title	Established Year	Disestablished Year
ABJX	Tower Limited	1990	current
ABKB	Tourism New Zealand	1991	current
ABKC	Trade New Zealand	1988	2003
ABKK	Works Consultancy Services Ltd, Head Office	1991	1996
ABKR	Landcorp Property Ltd, Blenheim District Office	? 1989	1996
ABKS	New Zealand Police, Porirua Police Station	unknown	current
ABLC	Department of Labour, Employment Relations Service	1988	2012
ABLD	New Zealand 1990 Commission, Auckland Regional Office	1988	1991
ABLF	New Zealand 1990 Commission, Dunedin Regional Office	1988	1991
ABLG	New Zealand 1990 Commission, Wellington Regional Office	1988	1991
ABLQ	Institute of Environmental Science and Research Limited, Corporate Office	1992	current
ABLR	Industrial Research Limited, Gracefield Research Centre	1992	current
ABLU	AgResearch Limited, Corporate Office	1992	current
ABLV	New Zealand Forest Research Institute Limited	1992	current
ABLW	Horticulture and Food Research Institute of New Zealand Limited, Corporate Office	1992	2008
ABMB	Department of Industrial and Scientific Research - Geology and Geophysics Division	1990	1992
ABMX	Agriculture New Zealand Limited	1992	current
ABNL	Universities New Zealand	1990	current
ABOF	Waterfront Industry Restructuring Authority	1989	1992
ABOH	New Zealand Police, Upper Hutt Station	? 1917	current
ABOS	Landcorp Property Ltd, Napier District Office	? 1989	1996
ABOZ	Land Transport Safety Authority, Gisborne District Office	1993	c. 1994
ABPB	Land Transport Safety Authority, Palmerston North Regional Office	1993	2004
ABPD	Land Transport Safety Authority, New Plymouth District Office	1993	c. 1994
ABPG	Telecommunications Corporation of New Zealand Limited (Telecom), Wanganui	1987	current
ABPJ	The Intellectual Property Office of New Zealand	1870	current
ABPK	Transpower New Zealand Limited, Head Office	1987	current
ABPT	Land Transport Safety Authority, Head Office	1993	2004
ABPX	Development Finance Corporation of New Zealand, Head Office	1964	1987
ABQN	Fire Service Council	1949	1974
ABQP	New Zealand Consulate-General, Noumea	1972	current
ABQQ	New Zealand Lotteries Commission, Head Office	1987	current
ABRL	Arts Council of New Zealand Toi Aotearoa	1994	current
ABSC	New Zealand Consulate-General, Hong Kong	1960	current
ABSG	New Zealand High Commission, Apia 	1962	current
ABSI	New Zealand Embassy, Jakarta	c. 1958	current
ABSM	New Zealand High Commission, Rarotonga	c. 1966	current
ABSN	New Zealand High Commission, Singapore	1955	current
ABSS	New Zealand Consulate-General, Athens	1964	1991
ABSU	New Zealand Consulate, Bahrain	c. 1978	current
ABSX	New Zealand Consulate, Lima	1972	c. 1991
ABTE	Wellington Area Health Board	1989	1993
ABTG	Landcorp Property Ltd, Palmerston North District Office	? 1989	1996
ABUI	Small Business Agency, Head Office	1977	1987
ABUZ	National Roads Board	1954	1989
ABVJ	Broadcasting Standards Authority	1989	current
ABVO	Skill New Zealand	1990	2003
ABWD	New Zealand Meat Producers Board	1922	current
ABWF	Post Office Bank Limited, Invercargill	? 1987	? 1989
ABYB	Blenheim District Court	? 1857	current
ABYJ	Occupational Therapy Board of New Zealand	1950	current
ABYN	Eketahuna Urban Fire Authority	1950	1976
ABZJ	Radio New Zealand Limited, Head Office	1995	current
ABZK	Opus International Consultants Ltd., Group Office	1996	current
ACCB	Ministry of Economic Development, Wellington Regional Office	1997	2012
ACCD	New Zealand Customs Service, Wellington Regional Office	? 1845	? 1999
ACCE	Legislative Council	1853	1951
ACCF	Speaker of the Legislative Council	1854	1951
ACCG	Speaker of the House of Representatives	1854	current
ACCH	Main Highways Board	1923	1954
ACCM	Opus International Consultants Limited, Napier Office	1996	current
ACCY	New Zealand Post Limited, Kimbolton	1987	1992
ACCZ	New Zealand Post Limited, Apiti	1987	1988
ACDA	New Zealand Post Limited, Halcombe	1987	1988
ACDB	New Zealand Post Limited, Rangiwahia	1987	1988
ACDC	New Zealand Post Limited, Martinborough	1987	1992
ACDE	New Zealand Post Limited, Greytown	1987	current
ACDF	New Zealand Post Limited, Featherston	1987	current
ACDG	New Zealand Post Limited, Eketahuna	1987	? 1989
ACDH	New Zealand Post Limited, Inglewood	1987	current
ACDI	New Zealand Post Limited, Waitara	1987	current
ACDJ	New Zealand Post Limited, Otane	1987	? 1988
ACDK	New Zealand Post Limited, Waipawa	1987	1990
ACDL	New Zealand Post Limited, Takapau	1987	1989
ACDM	New Zealand Post Limited, Nuhaka	1987	1991
ACDN	New Zealand Post Limited, Matawai	1987	1992
ACDO	New Zealand Post Limited, Shannon	1987	1992
ACDP	New Zealand Post Limited, Foxton	1987	current
ACDQ	New Zealand Post Limited, Ashhurst	1987	1992
ACDR	New Zealand Post Limited, Woodville	1987	1992
ACDS	New Zealand Post Limited, Pahiatua	1987	? 1991
ACDU	New Zealand Post Limited, Courtney Place, Wellington	1987	1990
ACDV	New Zealand Post Limited, Petone	1987	current
ACDW	New Zealand Post Limited, Kilbirnie	1987	current
ACDX	New Zealand Post Limited, Hunterville	1987	? 1989
ACDY	New Zealand Post Limited, Bulls	1987	1993
ACDZ	New Zealand Post Limited, Paraparaumu	1987	current
ACEA	New Zealand Post Limited, Otaki	1987	current
ACEB	New Zealand Post Limited, Norsewood	1987	1988
ACEC	New Zealand Post Limited, Pongoroa	1987	1992
ACED	New Zealand Post Limited, Herbertville	1987	1988
ACEE	New Zealand Post Limited, Mangaweka	1987	1988
ACEF	New Zealand Post Limited, Stratford	1987	current
ACEG	New Zealand Post Limited, Whangamomona	1987	1988
ACEH	New Zealand Post Limited, Carterton	1987	1991
ACEI	New Zealand Post Limited, Porongahau	1987	1990
ACEJ	New Zealand Post Limited, Opunake	1987	current
ACEK	New Zealand Post Limited, Patea	1987	1991
ACEL	New Zealand Post Limited, Manaia	1987	? 1991
ACEM	New Zealand Post Limited, Eltham	1987	current
ACEN	New Zealand Post Limited, Raetahi	1987	1992
ACEO	New Zealand Post Limited, Waiouru	1987	1992
ACEP	New Zealand Post Limited, Ohakune	1987	current
ACEQ	New Zealand Post Limited, Waverley	1987	1991
ACER	New Zealand Post Limited, Ratana Pa	1987	1989
ACES	New Zealand Post Limited, Rongotea	1987	unknown
ACFE	New Zealand Post Limited, Kaponga	1987	? 1988
ACFF	Featherston Magistrate's Court	c. 1860	1979
ACGD	Council of Scientific and Industrial Research	1926	1964
ACGP	Wellington South Licensing Trust	1972	? 2001
ACGQ	Landcorp Investments Ltd	1987	2004
ACGU	Physiotherapy Board of New Zealand	1921	current
ACJU	New Zealand Pastoral Agriculture Research Institute Limited - Grasslands	1992	current
ADAO	Social Science Research Fund Committee	1979	1990
ADAP	Science and Technology Advisory Committee	1987	1989
ADBE	Lands Department, Canterbury Association 	1849	1853
ADBF	Land Office, Akaroa	1851	1853
ADBH	Survey Department, Canterbury Association 	1848	1853
ADBI	Survey Office, Akaroa 	1851	1853
ADCA	New Plymouth District Court	1841	current
ADCT	Learning Media Limited	1993	current
ADCV	AgriQuality Limited, Corporate Office	1998	2007
ADCZ	Gore-Browne Family	1851	current
ADFE	Broadcasting History Project Trust	1988	2004
ADFG	Radio New Zealand, Maori and Pacific Island Programming Unit, Auckland	1978	1997
ADFR	Legal Services Agency	2001	2011
ADGA	Manukau Institute of Technology	1970	current
ADGF	Tai Poutini Polytechnic	1989	current
ADGH	Telford Rural Polytechnic	1964	current
ADKO	Transfund New Zealand	1996	2004
ADKT	Petroleum Corporation of New Zealand Limited, Head Office	1978	1988
ADKV	Takeovers Panel	1995	current
ADKW	Meridian Energy Limited, Head Office	1999	current
ADLD	Industry Capability Network New Zealand	unknown	current
ADLF	Investment New Zealand	2002	current
ADLH	Meteorological Service of New Zealand Limited	1992	current
ADLI	Mighty River Power Limited, Head Office	1999	current
ADLP	Agricultural and Marketing Research and Development Trust, Head Office	1987	current
ADLS	ASURE New Zealand Limited, Head Office	1998	2007
ADMA	New Zealand Film Commission	1977	current
ADMD	New Zealand Game Bird Habitat Trust Board	1993	current
ADMQ	Valuers Registration Board	1949	current
ADMR	New Zealand Horticulture Export Authority	1987	current
ADMS	Immigration Advisers Authority	2007	current
ADMT	Immigration Advisers Complaints and Disciplinary Tribunal	2007	current
ADNC	Ngai Tahu Ancillary Claims Trust	1998	current
ADNE	Casino Control Authority	1990	2004
ADNJ	Genesis Power Limited	1999	current
ADNL	Office of Human Rights Proceedings	2002	current
ADOT	Marine Lighthouse - Cape Palliser 	1897	? 1959
ADQH	Alexandra Urban Fire Authority	1950	1976
ADQI	Arrowtown Urban Fire Authority	1950	1976
ADQK	Heriot Urban Fire Authority	1954	1976
ADQL	Invercargill Fire Board	1923	1976
ADQN	Kaitangata Urban Fire Authority	1920	1976
ADQP	Milton Urban Fire Authority	1908	1976
ADQR	Queenstown Urban Fire Authority	1950	1976
ADQS	Roxburgh Urban Fire Authority	1950	1976
ADQT	Winton Urban Fire Authority	1950	1976
ADRL	Ministry of Agriculture and Fisheries, New Zealand Plant Protection Centre, Lynfield	1984	current
ADST	National Provident Fund	1911	current
ADSV	Burstall Family	unknown	current
ADTD	Police Station, Bulls 	? 1877	? 1915
ADYL	Land Corporation Limited, Alexandra District Office	1987	c. 1996
ADZU	Ruatoria District Court	1948	current
AEAR	Wairoa District Court	1868	current
AEBC	New Zealand Institute of Architects, Head Office	1913	1997
AEBF	District Court of Wairarapa	? 1878	1909
AEBI	Chaucer School	c. 1964	current
AEBM	West Yates Limited	c. 1980	current
AEBZ	Mines Department, Mines and Quarries Inspectorate, Huntly	unknown	1977
AECQ	Maori Trust Office, Gisborne District Office	1953	current
AECR	Maori Trust Office, Whangarei District Office	1953	current
AEDW	Industrial Research Ltd, Auckland 	1992	current
AEEA	Maori Trust Office, Hastings District Ofiice	1953	1992
AEEB	Maori Trust Office, Christchurch District Office	1953	1992
AEED	Noxious Plants Council	1978	1993
AEHF	Landcorp Property Ltd, Nelson District Office	? 1989	1996
AEHP	Landcorp Property Ltd, Wellington District Office	? 1989	1996
AEHQ	Landcorp Property Ltd, New Plymouth District Office	? 1989	1996
AEHR	Landcorp Property Ltd, Head Office	1988	1996
AEHS	Land Corporation Limited, Napier District Office	1987	? 1989
AELE	State Advances Corporation 	? 1896	? 1985
AELF	State Advances Corporation, Wellington 	? 1934	? 1978
AELK	Middlemarch Magistrate's Court	? 1891	1949
AELL	Mosgiel Magistrate's Court	1883	1953
AELM	Outram Magistrate's Court	? 1881	1931
AELN	Port Chalmers Magistrate's Court	c. 1861	1953
AELO	Waikouaiti Magistrate's Court	? 1863	? 1932
AELS	Valuation Department - Lower Hutt District Office 	? 1967	? 1980
AELT	Valuation Department, Masterton District Office 	? 1964	? 1980
AEMF	Gambling Commission	2004	current
AEMR	Kaitangata Magistrate's Court	? 1885	1932
AEMS	Owaka Magistrate's Court	? 1902	1948
AEMW	New Zealand Company Resident Agent, Otago	? 1847	? 1851
AEND	Western Pacific High Commission 	? 1857	? 1919
AENG	New Zealand Company Principal Surveyor, Otago	1844	? 1852
AENJ	Lumsden District Court	c. 1870	2002
AENT	Wellington Secondary Schools Council 	? 1857	? 1969
AENW	Pleasant Valley Sanatorium 	1910	1953
AENX	Lawrence Magistrate's Court	1862	1953
AENY	Roxburgh Magistrate's Court	1862	1979
AEOG	Auckland Education Board, Northland Area Office	c. 1951	1989
AEOK	Otautau Magistrate's Court 	c. 1892	1979
AEOL	Orepuki Magistrate's Court 	1866	1932
AEOM	Winton Magistrate's Court 	? 1881	1953
AEON	Wyndham Magistrate's Court 	c. 1906	1953
AEOO	Riverton Magistrate's Court 	? 1882	1968
AEOP	Stewart Island Magistrate's Court	1873	1953
AEOQ	School Commissioner [Nelson]	1877	1910
AEOR	Cromwell Magistrate's Court	1867	1972
AEOS	Nelson Provincial Government	1853	1876
AEOW	Pakahi School	1935	unknown
AEPE	Fiordland National Park Board, Clifden Ranger Station	1965	1980
AEPJ	New Zealand Company	1839	1858
AEPK	Air New Zealand Limited, Head Office	1940	current
AEPN	Ontrack (New Zealand Railways Corporation), Area Office, Dunedin	2004	current
AEPP	The Plant Ecology Group	1990	1992
AEPU	Electricity Corporation of New Zealand Limited Residual	1999	current
AEPX	Social Workers Registration Board	2003	current
AEQF	Middlemarch Warden's Court	c. 1892	1930
AEQH	North Canterbury Fish and Game Council	1990	current
AEQK	Commission of Inquiry into Police Conduct	2004	2007
AEQM	Canterbury Association, Canterbury Office	1848	1853
AEQQ	Natural Gas Corporation of New Zealand Limited, Head Office	1967	1988
AEQU	Otago Benevolent Institution Committee	1862	1886
AERA	Canterbury Museum	1867	current
AERU	Pembroke Warden's Court	c. 1886	c. 1916
AERX	Arrowtown Magistrate's Court	c. 1863	1932
AERY	Malvern Magistrate's Court	c. 1876	1979
AESD	Clyde Magistrate's Court	1862	1932
AESE	Southbridge Magistrate's Court	c. 1881	c. 1923
AESF	Methven Magistrate's Court	c. 1886	c. 1950
AESH	Cheviot Magistrate's Court	c. 1898	c. 1950
AESO	Tapanui Magistrate's Court	c. 1877	1946
AESX	Confidential Forum for Former In-Patients of Psychiatric Hospitals	2005	2007
AETC	Dunedin School of Medicine	1875	current
AETE	Land Transport Safety Authority, Wellington Regional Office	1993	2004
AETF	Land Transport Safety Authority, Queenstown Regional Office	c. 2002	2004
AETG	Macraes Magistrate's Court	c. 1867	c. 1918
AETH	Macraes Warden's Court	c. 1865	c. 1919
AETI	Te Aroha Court of Review	c. 1934	unknown
AETJ	Dunedin Mayor's Court	? 1866	1873
AETK	Rural Electrical Reticulation Council	1946	1997
AETM	Dunedin Police Court	unknown	unknown
AETT	Contact Energy Limited, Head Office	1995	current
AETU	Contact Energy Limited - Thermal, New Plymouth Power Station	1996	1999
AETV	Contact Energy Limited - Geothermal, Wairakei Power Station	1996	1999
AETW	Contact Energy Limited - Hydro, Clyde Power Station	1996	current
AETY	Dunedin Aliens Authority	1940	1945
AEUF	Local Government Rates Inquiry	2006	2007
AEUJ	Naseby Magistrate's Court	1863	1948
AEUN	St Bathans Wardens Court	c. 1864	1923
AEUP	Commission of Inquiry into Land and Income Taxation	1924	? 1924
AEUR	Hyde Warden's Court	c. 1864	c. 1916
AEUS	Warden's Court Dunedin	c. 1877	1922
AEUZ	Opus International Consultants Ltd, Dunedin Office	1996	current
AEVB	Post Office Bank Limited, Dunedin	? 1987	? 1989
AEVC	St Bathans Magistrate's Court	? 1881	1932
AEVE	Patearoa Warden's Court	? 1901	? 1916
AEVH	Mataura Magistrate's Court	c. 1875	1951
AEVI	University of Otago Medical Library	? 1909	current
AEVS	Dairy Factory Managers Registration Board	1934	1989
AEVW	New Zealand Transport Agency, National Office	2008	current
AEWN	Urban Transport Council	1981	1989
AEWR	Dunedin International Airport Limited	1990	current
AEWS	Invercargill Airport Limited	1992	current
AEWU	Christchurch International Airport Limited	1988	current
AEWV	Auckland International Airport Limited	1988	current
AEXA	Eastern Secondary Schools Board of Governors	1955	1989
AEXC	Chartered Professional Engineers Council	2002	current
AEXX	Havelock Warden's Court/Resident Magistrate's Court	1864	c. 1890
AEYC	Pork Industry Council	1974	1982
AEYD	Cadastral Surveyors Licensing Board of New Zealand	2002	current
AEYF	Pork Marketing Board	1973	1982
AEYG	National Patriotic Fund Board	1939	1948
AEYH	New Zealand Patriotic Fund Board	1948	1987
AEYI	Armed Forces Canteen Council	1939	current
AEYL	New Zealand Urban Public Passenger Transport Council	1972	1981
AEYY	Crown Fibre Holdings Limited	2009	current
AEYZ	Office of the Judicial Conduct Commissioner	2005	current
AEZG	DNTV-2 [Television Station] 	1962	1975
AEZH	Office of the Chief Coroner	2007	current
AEZL	Representation Commission	1993	current
AEZM	Wellington International Airport Limited	1990	current
AEZO	District Health Boards New Zealand Incorporated	2000	current
AEZP	Guardians of New Zealand Superannuation	2002	current
AEZQ	Deer Industry New Zealand	1985	current
AEZS	Tairawhiti District Pig Council	1938	1956
AEZT	Pork Industry Council	1952	1974
AEZU	Auckland Transition Agency	2009	current
AEZV	Refugee Status Appeals Authority	1991	2010
AEZW	Removal Review Authority	1991	2010
AEZX	Fisheries Authority	1983	2003
AEZY	Totalisator Agency Board, National Office	1950	2003
AEZZ	New Zealand Racing Industry Board	1971	2003
AFAA	New Zealand Racing Board, National Office	2003	current
AFAB	Immigration and Protection Tribunal	2010	current
AFAG	Knight Frank Napier	c. 1996	c. 2000
AFAO	National Institute of Water and Atmospheric Research Limited, Auckland Regional Office	1992	current
AFAX	New Zealand Institute for Plant and Food Research Limited, Head Office	2008	current
AFAY	AsureQuality Limited, Head Office	2007	current
AFBB	Health and Disability Commissioner, Wellington Office	1994	current
AFBC	Child and Youth Mortality Review Committee	2001	current
AFBD	Perinatal and Maternal Mortality Review Committee	2005	current
AFBM	Picton Magistrate's Court	1863	1968
AFCN	Timber Industry Training Centre	1963	1998
AFCU	New Zealand Fishing Industry Board	1964	2002
AFCV	New Zealand Potato Board	1950	1988
AFCW	Dairy Products Prices Authority	1957	1988
AFCX	Charities Commission	2005	current
AFCY	Palmerston North Airport Limited	1989	current
AFCZ	Rotorua Regional Airport Limited	1990	current
AFDA	Waikato Regional Airport Limited	1989	current
AFDT	New Zealand Walking Access Commission	2008	current
AFEG	New Zealand Board of Trade	1916	1923
AFEH	Board of Agriculture	1914	1932
AFEI	Committee of Inquiry on Co-operative Dairy Company Legislation	1948	1949
AFEJ	Committee of Inquiry on Lending to Farmers	1971	1972
AFEK	Committee of Inquiry into the Distribution of Meat, Fish, Fruit, and Vegetables	1972	1973
AFEL	Royal Commission to Inquire into and Report upon the Sheep-Farming Industry in New Zealand	1947	1949
AFES	Executive Commission of Agriculture	1935	1958
AFEX	Royal Commission on Auckland Governance	2007	2009
AFFI	New Zealand Pork Industry Board	1983	current
AFFJ	Residence Review Board	1991	2010
AFFN	Greytown Magistrate's Court	unknown	1948
AFFO	Carterton Magistrate's Court	1875	1951
AFFP	Martinborough Magistrate's Court	unknown	1951
AFGT	Kelston High Schools Board of Governors	1954	1989
AFGW	Green Bay High School	? 1972	current
AFGX	Kelston High School	1954	1963
AFGY	Rotorua High Schools' Board of Governors	1926	1989
AFHK	Commission to Inquire Into and Report Upon the Meat Industry	1959	1959
AFHL	Agricultural Production Council	1964	c. 1982
AFIC	Auckland Land Valuation Court	1949	1968
AFID	Gisborne Land Valuation Court	1949	1968
AFIO	Invercargill Land Valuation Court	1949	1968
AFIX	Ministry of Agriculture and Fisheries, Auckland Plant Health Diagnostic Station	1969	c. 1984
AFJQ	National Hydatids Council	1959	1992
AFJR	Economic Stabilization Commission	1942	1950
AFKJ	Marketing Advisory Council	1950	c. 1954
AFLM	Canterbury Earthquake Recovery Commission	2010	2011
AFLN	Electricity Authority	2010	current
AFUO	Royal Commission on the Pike River Mine Tragedy	2010	current
AFUP	Canteen Fund Board	1948	1987
AFUQ	National Patriotic Council	1939	1948
AFUR	National War Funds Council	1915	1950
AFVH	Health Quality and Safety Commission	2010	current
AFVX	Community Housing Aotearoa	2004	current
AFWA	New Zealand Venture Investment Fund Limited	2002	current
AFWC	Catalyst Risk Management Limited	1996	current
AFWE	Financial Markets Authority	2011	current
AFWG	Dental Council of New Zealand [II]	2003	current
AFWH	New Zealand Productivity Commission	2010	current
AFWI	New Zealand Federation of Country Girls' Clubs Incorporated	1948	1975
AFWL	New Zealand Psychologists Board	1982	current
AFWM	Optometrists and Dispensing Opticians Board	1929	current
AFWN	Midwifery Council of New Zealand	2003	current
AFWO	Osteopathic Council of New Zealand	2003	current
AFWP	New Zealand Chiropractic Board	1961	current
AFWQ	Podiatrists Board of New Zealand	1968	current
AFWR	Veterinary Surgeons Board	1927	1995
AFWS	Veterinary Council of New Zealand	1995	current
AFWT	Animal Remedies Board	1935	c. 2003
AFWU	Medical Laboratory Science Board	1973	current
AFWV	Medical Radiographers Board	1977	1982
AFWW	Medical Radiation Technologists Board	1982	current
AFWX	Dietitians Board	1951	current
AFWY	Medical Council of New Zealand	1915	current
AFWZ	Soil Conservation and Rivers Control Council	1941	1984
AFXD	National Rehabilitation Council	1942	1965
AFXI	New Zealand Law Society	1869	current
AFXJ	New Zealand Society of Conveyancers	2008	current
AFXK	New Zealand Council of Legal Education	1931	current
AFXL	New Zealand Lawyers and Conveyancers Disciplinary Tribunal	2008	current
AFXM	Vehicle Testing New Zealand Limited, Corporate Office	1994	current
AFXN	Plumbers, Gasfitters and Drainlayers Board	1977	current
AFXO	Pharmacy Council of New Zealand	2003	current
AFXP	New Zealand Health Practitioners Disciplinary Tribunal	2004	current
AFXQ	Psychotherapists Board of Aotearoa New Zealand	2007	current
AFXR	Auckland Metropolitan Milk Board	1945	1966
AFXS	New Zealand Registered Architects Board	2005	current
AFXT	Royal Commission of Inquiry into Building Failure Caused by the Canterbury Earthquakes	2011	current
AFYA	Monetary and Economic Council	1961	1978
AFYB	Architects Registration Tribunal	1964	1965
AFYC	New Zealand Inventions Development Authority	1967	1976
AFYD	Waterfront Industry Tribunal	1951	1987
AFYF	Royal Commission to Inquire into and Report Upon the Waterfront Industry	1950	1952
AFYH	New Zealand Walkway Commission	1975	1990
AFYI	New Zealand Wool Marketing Corporation	1972	1978
AFYJ	New Zealand Wool Testing Authority	1965	1989
AFYT	New Zealand Ports Authority	1969	1988
AFYW	Levin Urban Fire Authority	1919	1976
AFYX	Petone Fire Board	1908	1976
AFYY	Ohakune Urban Fire Authority	1919	1976
AFYZ	Stratford Urban Fire Authority	1945	1976
AFZA	Wanganui Fire Board	1918	1976
AFZB	Committee of Inquiry into the Under-reporting of Cervical Smear Abnormalities in the Gisborne Region	1999	2001
AFZC	Ministerial Review of allegations of abuse at the Regular Force Cadet School	2004	2005
AFZD	Patea Fire Board	1941	1976
AFZG	New Zealand Industrial Design Council, Head Office	1967	1988
AFZI	Education New Zealand	2011	current
AFZJ	Enable New Zealand Limited, Head Office	c. 2008	current
AFZK	New Zealand Search and Rescue Council	2003	current
AFZL	Public Advisory Committee on Disarmament and Arms Control	1987	current
AFZN	New Zealand Motor Industry Training Organisation	1990	current
AFZO	Motor Trade Association	1917	current
AFZQ	New Zealand Motor Trades Certification Board 	1944	1990
AFZV	Trans Power Establishment Board	1990	1993
AFZW	Commonwealth Fabric Corporation Limited	1960	1967
AFZZ	Palmerston North Fire Board	1907	1976
AGAA	Masterton Fire Board	1908	1976
AGAQ	Wellington Fire Board	1926	1976
AGAR	Otaki Urban Fire Authority	1925	1976
AGAX	DFC New Zealand Limited, Head Office	1987	1989
AGBJ	Maketu Licensing Committee	1881	unknown
ARCH	National Archives of New Zealand, Head Office	1954	2000
BAAF	Department of Health, Whangarei District Office	unknown	? 1989
BABG	Maori Land Court, Office of Auckland	c. 1865	1962
BABL	District Land Office, Auckland	1849	1892
BABM	Transit New Zealand, Hamilton Regional Office	1989	2008
BACI	Waitakere District Court	unknown	current
BACK	Otahuhu District Court	1870	2000
BACS	Maori Land Court, Waikato-Maniapoto District	1962	current
BADC	Dargaville District Court	? 1878	current
BADE	Kaikohe District Court	c. 1897	current
BAES	Magistrates Court Onehunga	1849	1951
BAEZ	Rawene District Court	1862	1979
BAFG	Wellsford Magistrates Court	1909	unknown
BAFW	New Zealand Fire Service, Region 2 Headquaters	1976	1995
BAFX	New Zealand Police, Newmarket Station	1882	current
BAGC	Committee of Inquiry on Cervical Cancer	1987	1988
BAHB	Huntly District Court	1897	current
BAHS	Ministry of Works and Development, Tauranga Residency Office	c. 1892	1988
BAIM	Ministry of Works and Development, Paeroa Residency Office	c. 1904	1988
BAIP	The Royal Commission of Inquiry on Broadcasting and Related Telecommunications in New Zealand	1985	1986
BAIW	Department of Lands, Auckland District Office	1987	1990
BAIZ	State Advances Corporation, Auckland Branch	1936	1974
BAJA	Ministry of Commerce, Auckland Regional Office	1988	1992
ABJG	New Zealand Police Gisborne District Headquarters	1886	current
BAJI	Department of Justice, High Court, Gisborne	c. 1880	current
BAJU	Telecommunications Corporation of New Zealand Limited, Telecom Auckland Limited	1987	current
BAJY	Department of Survey and Land Information, Office of Crown Lands Hamilton	1990	1996
BAJZ	Land Information New Zealand, Auckland Regional Office	1996	2011
BANB	Medical Research Council of New Zealand	1937	1990
BANO	Gisborne District Court	? 1857	current
BAPD	Kaitaia Urban Fire Authority	1950	1976
BAPH	Otorohanga Urban Fire Authority	1950	1976
BAPK	Paeroa Urban Fire Authority	1950	1976
BATU	Glen Eden Urban Fire Authority	1950	1976
BAUQ	Te Awamutu Police Station	1886	current
BAVX	Russell Magistrate's Court	1846	unknown
BAXD	Ngaruawahia Police Station	1886	current
BAYA	Rotorua District Court	1894	current
BAZA	Ministry of Education, Whangarei Office	1989	current
BAZN	Auckland Metropolitan College	1976	c. 2001
BBAF	Mt Eden Prison	1856	current
BBAF	Committee of Inquiry into the Riot at Auckland on 7 December 1984	1984	1984
BBAJ	Department of Trade and Industry, Auckland Regional Office	1972	1988
BBAR	Office of the Race Relations Conciliator, Auckland	1972	2002
BBFY	Works Consultancy Services Ltd, Auckland	1988	1996
BBGH	New Zealand Police, Eastern Area Headquarters	1992	current
BBHW	Maori Trust Office, Hamilton District Office	c. 1959	current
BBIB	Office of the Ombudsmen, Auckland	1976	current
BBJM	Works Consultancy Services Ltd, Whangarei Office	1988	1996
BBKX	Telecommunications Corporation of New Zealand Limited, Telecom Central Limited	1987	current
BBLA	Maori Trust Office, Rotorua District Office	1953	current
BBNW	Energy Efficiency and Conservation Authority, Auckland Office	1992	current
BBPM	Companies Office, Hamilton	1963	? 1975
BBPX	Land Transport Safety Authority, Auckland Regional Office	1993	2004
BBPY	Land Transport Safety Authority, Hamilton Regional Office	1993	2004
BBPZ	Community Probation Service, Bay of Plenty Coast Area Office	1997	? 2003
BBQD	Hikurangi Magistrate's Court	1911	1932
BBRY	New Zealand Post Limited, Mangapai	1987	1988
BBTG	New Zealand Post Limited, Turangi	1987	? 1990
BBTK	New Zealand Post Limited, Mangakino	1987	1990
BBUF	New Zealand Post Limited, Tirau	1987	1989
BBUX	New Zealand Post Limited, Kumeu	1987	current
BBVM	New Zealand Post Limited, Te Kao	1987	1988
BBVN	New Zealand Post Limited, Herekino	1987	1988
BBVO	New Zealand Post Limited, Kohu Kohu	1987	1991
BBVP	New Zealand Post Limited, Awanui	1987	1989
BBVQ	New Zealand Post Limited, Broadwood	1987	1989
BBVR	New Zealand Post Limited, Mangonui	1987	1989
BBVS	New Zealand Post Limited, Pio Pio	1987	1989
BBVT	New Zealand Post Limited, Aria	1987	unknown
BBVU	New Zealand Post Limited, Otorohanga	1987	current
BBVW	New Zealand Post Limited, Waiuku	1987	current
BBVX	New Zealand Post Limited, Tuakau	1987	? 1991
BBVY	New Zealand Post Office Limited, Mercer	1987	1988
BBVZ	New Zealand Post Limited, Kaiwaka	1987	1992
BBWB	New Zealand Post Limited, Mangawhai	1987	1989
BBWC	New Zealand Post Limited, Ruawai	1987	1989
BBWD	New Zealand Post Limited, Maungaturoto	1987	1992
BBWE	New Zealand Post Limited, Paparoa	1987	1989
BBWF	New Zealand Post Limited, Te Kopuru	1987	1989
BBWH	New Zealand Post Limited, Hikurangi	1987	1992
BBWI	New Zealand Post Limited, Waipu	1987	1989
BBWK	New Zealand Post Limited, Ohura	1987	1992
BBWL	New Zealand Post Limited, National Park	1987	1990
BBWM	New Zealand Post Limited, Ongarue	1987	1990
BBWN	New Zealand Post Limited, Matiere	1987	1988
BBWO	New Zealand Post Limited, Owhango	1987	1989
BBWP	New Zealand Post Limited, Ngatea	1987	1989
BBWQ	New Zealand Post Limited, Whitianga	1987	current
BBWR	New Zealand Post Limited, Coromandel	1987	current
BBWT	New Zealand Post Limited, Katikati	1987	current
BBWU	New Zealand Post Limited, Te Puke	1987	current
BBWW	New Zealand Post Limited, Te Kaha	1987	1988
BBWX	New Zealand Post Limited, Te Aroha	1987	current
BBWY	New Zealand Post Limited, Matamata	1987	? 1991
BBWZ	New Zealand Post Limited, Ngaruawahia	1987	current
BBXA	New Zealand Post Limited, Cambridge	1987	? 1991
BBXB	New Zealand Post Limited, Raglan	1987	? 1991
BBXC	New Zealand Post Limited, TikiTiki	1987	1988
